ID Anúncio,Título (BR),Fonte,Vendedor,URL,Preço BR (R$),Qtd disponível,SKU,Produto (canônico),Tipo,Coleção,Preço US (US$),Câmbio USD/BRL,Preço US (R$),Lucro bruto (R$),Margem total %,Mais barato que US %,Lucro líquido est. (R$),Margem líquida est. %,Confiança do match,Confiança do deal,Risco principal,Ação recomendada,Motivo de rejeição
LIGA-133774-1,(ING) Booster Pack - Escarlate e Violeta 10.5 - Fogo Branco (English),liga,loja#150020,https://www.ligapokemon.com.br/?view=prod/view&pcode=133774&prod=(ING) Booster Avulso - Escarlate e Violeta 10.5 - Fogo Branco,39.9,4,wht-sleeved-booster,White Flare Sleeved Booster (English),Sleeved Booster,White Flare,12.3,5.1671,63.56,23.66,59.29,37.22,-102.78,-257.61,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133774-2,(ING) Booster Pack - Escarlate e Violeta 10.5 - Fogo Branco (English),liga,loja#256298,https://www.ligapokemon.com.br/?view=prod/view&pcode=133774&prod=(ING) Booster Avulso - Escarlate e Violeta 10.5 - Fogo Branco,39.9,2,wht-sleeved-booster,White Flare Sleeved Booster (English),Sleeved Booster,White Flare,12.3,5.1671,63.56,23.66,59.29,37.22,-102.78,-257.61,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133443-2,(ING) Booster Pack - Escarlate e Violeta 10 - Destined Rivals (English),liga,loja#71080,https://www.ligapokemon.com.br/?view=prod/view&pcode=133443&prod=(ING) Booster Avulso - Escarlate e Violeta 10 - Rivais Predestinados,34.89,10,dri-pack-en,Destined Rivals Booster Pack (English),Sleeved Booster,Destined Rivals,10.62,5.1671,54.87,19.98,57.28,36.42,5.32,15.24,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133443-3,(ING) Booster Pack - Escarlate e Violeta 10 - Destined Rivals (English),liga,loja#88876,https://www.ligapokemon.com.br/?view=prod/view&pcode=133443&prod=(ING) Booster Avulso - Escarlate e Violeta 10 - Rivais Predestinados,34.95,92,dri-pack-en,Destined Rivals Booster Pack (English),Sleeved Booster,Destined Rivals,10.62,5.1671,54.87,19.92,57.01,36.31,5.26,15.04,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133443-4,(ING) Booster Pack - Escarlate e Violeta 10 - Destined Rivals (English),liga,loja#43286,https://www.ligapokemon.com.br/?view=prod/view&pcode=133443&prod=(ING) Booster Avulso - Escarlate e Violeta 10 - Rivais Predestinados,35.0,8,dri-pack-en,Destined Rivals Booster Pack (English),Sleeved Booster,Destined Rivals,10.62,5.1671,54.87,19.87,56.78,36.22,5.21,14.87,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-3,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#90095,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,124.9,5,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,70.26,56.25,36.00,-79.87,-63.95,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-4,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#645953,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,124.9,11,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,70.26,56.25,36.00,-79.87,-63.95,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-5,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#662762,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,125.9,8,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,69.26,55.01,35.49,-80.87,-64.23,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-15,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#670855,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,199.0,8,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,109.27,54.91,35.45,-61.22,-30.76,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133957-16,(ING) Booster Bundle - Megaevolução 1 - Megaevolução (English),liga,loja#461,https://www.ligapokemon.com.br/?view=prod/view&pcode=133957&prod=(ING) Combo de Pacotes - Megaevolução 1 - Megaevolução,199.9,9,meg-booster-bundle,Mega Evolution Booster Bundle (English),Booster Bundle,Mega Evolution,59.66,5.1671,308.27,108.37,54.21,35.15,-62.12,-31.08,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-7,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#90095,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,124.9,6,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,66.95,53.61,34.90,-82.58,-66.12,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-8,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#645953,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,124.9,12,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,66.95,53.61,34.90,-82.58,-66.12,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-9,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#210734,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,124.99,4,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,66.86,53.50,34.85,-82.67,-66.14,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-134382-5,(ING) Booster Pack - Megaevolução 2 - Phantasmal Flames (English),liga,loja#64102,https://www.ligapokemon.com.br/?view=prod/view&pcode=134382&prod=(ING) Booster Avulso - Megaevolução 2 - Fogo Fantasmagórico,36.9,34,phf-pack-en,Phantasmal Flames Booster Pack (English),Sleeved Booster,Phantasmal Flames,10.9,5.1671,56.32,19.42,52.63,34.48,4.49,12.17,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-10,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#662762,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,125.9,10,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,65.95,52.39,34.38,-83.58,-66.39,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-11,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#699868,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,125.9,11,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,65.95,52.39,34.38,-83.58,-66.39,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-6,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#144879,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,129.9,6,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,65.26,50.24,33.44,-84.87,-65.33,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-132933-1,(ING) Booster Pack - Escarlate e Violeta 2 - Evoluções em Paldea (English),liga,loja#657636,https://www.ligapokemon.com.br/?view=prod/view&pcode=132933&prod=(ING) Booster Avulso - Escarlate e Violeta 2 - Evoluções em Paldea,50.0,8,pal-sleeved-booster,Paldea Evolved Sleeved Booster (English),Sleeved Booster,Paldea Evolved,14.36,5.1671,74.2,24.2,48.40,32.61,-104.16,-208.31,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-135113-1,(ING) Booster Pack - Megaevolução 2.5 - Ascended Heroes (English),liga,loja#675338,https://www.ligapokemon.com.br/?view=prod/view&pcode=135113&prod=(ING) Booster Avulso - Megaevolução 2.5 - Heróis Excelsos,49.89,49,ah-pack-en,Ascended Heroes Booster Pack (English),Sleeved Booster,Ascended Heroes,14.26,5.1671,73.68,23.79,47.69,32.29,5.74,11.50,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133779-12,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus (English),liga,loja#144879,https://www.ligapokemon.com.br/?view=prod/view&pcode=133779&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Raio Preto - Reuniclus,129.9,7,blk-tech-sticker,Black Bolt Tech Sticker (English),Tech Sticker,Black Bolt,37.13,5.1671,191.85,61.95,47.69,32.29,-87.58,-67.42,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-135113-2,(ING) Booster Pack - Megaevolução 2.5 - Ascended Heroes (English),liga,loja#61167,https://www.ligapokemon.com.br/?view=prod/view&pcode=135113&prod=(ING) Booster Avulso - Megaevolução 2.5 - Heróis Excelsos,49.99,3,ah-pack-en,Ascended Heroes Booster Pack (English),Sleeved Booster,Ascended Heroes,14.26,5.1671,73.68,23.69,47.40,32.16,5.64,11.28,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-135113-3,(ING) Booster Pack - Megaevolução 2.5 - Ascended Heroes (English),liga,loja#118400,https://www.ligapokemon.com.br/?view=prod/view&pcode=135113&prod=(ING) Booster Avulso - Megaevolução 2.5 - Heróis Excelsos,49.99,5,ah-pack-en,Ascended Heroes Booster Pack (English),Sleeved Booster,Ascended Heroes,14.26,5.1671,73.68,23.69,47.40,32.16,5.64,11.28,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-135113-4,(ING) Booster Pack - Megaevolução 2.5 - Ascended Heroes (English),liga,loja#607671,https://www.ligapokemon.com.br/?view=prod/view&pcode=135113&prod=(ING) Booster Avulso - Megaevolução 2.5 - Heróis Excelsos,50.0,50,ah-pack-en,Ascended Heroes Booster Pack (English),Sleeved Booster,Ascended Heroes,14.26,5.1671,73.68,23.68,47.37,32.14,5.63,11.26,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133443-5,(ING) Booster Pack - Escarlate e Violeta 10 - Destined Rivals (English),liga,loja#464116,https://www.ligapokemon.com.br/?view=prod/view&pcode=133443&prod=(ING) Booster Avulso - Escarlate e Violeta 10 - Rivais Predestinados,37.99,35,dri-pack-en,Destined Rivals Booster Pack (English),Sleeved Booster,Destined Rivals,10.62,5.1671,54.87,16.88,44.44,30.77,2.22,5.83,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133774-3,(ING) Booster Pack - Escarlate e Violeta 10.5 - Fogo Branco (English),liga,loja#90095,https://www.ligapokemon.com.br/?view=prod/view&pcode=133774&prod=(ING) Booster Avulso - Escarlate e Violeta 10.5 - Fogo Branco,44.9,10,wht-sleeved-booster,White Flare Sleeved Booster (English),Sleeved Booster,White Flare,12.3,5.1671,63.56,18.66,41.55,29.35,-107.78,-240.05,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-134382-6,(ING) Booster Pack - Megaevolução 2 - Phantasmal Flames (English),liga,loja#657636,https://www.ligapokemon.com.br/?view=prod/view&pcode=134382&prod=(ING) Booster Avulso - Megaevolução 2 - Fogo Fantasmagórico,39.8,6,phf-pack-en,Phantasmal Flames Booster Pack (English),Sleeved Booster,Phantasmal Flames,10.9,5.1671,56.32,16.52,41.51,29.33,1.59,4.00,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-134382-7,(ING) Booster Pack - Megaevolução 2 - Phantasmal Flames (English),liga,loja#117638,https://www.ligapokemon.com.br/?view=prod/view&pcode=134382&prod=(ING) Booster Avulso - Megaevolução 2 - Fogo Fantasmagórico,39.95,30,phf-pack-en,Phantasmal Flames Booster Pack (English),Sleeved Booster,Phantasmal Flames,10.9,5.1671,56.32,16.37,40.98,29.07,1.44,3.61,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-134382-8,(ING) Booster Pack - Megaevolução 2 - Phantasmal Flames (English),liga,loja#316637,https://www.ligapokemon.com.br/?view=prod/view&pcode=134382&prod=(ING) Booster Avulso - Megaevolução 2 - Fogo Fantasmagórico,40.0,15,phf-pack-en,Phantasmal Flames Booster Pack (English),Sleeved Booster,Phantasmal Flames,10.9,5.1671,56.32,16.32,40.80,28.98,1.39,3.48,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-7,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#64102,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,138.9,12,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,56.26,40.50,28.83,-93.87,-67.58,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
LIGA-133778-8,(ING) Blister Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle (English),liga,loja#64102,https://www.ligapokemon.com.br/?view=prod/view&pcode=133778&prod=(ING) Blister Triplo Tech Sticker Escarlate e Violeta 10.5 - Fogo Branco - Gothitelle,138.9,11,wht-tech-sticker,White Flare Tech Sticker (English),Tech Sticker,White Flare,37.77,5.1671,195.16,56.26,40.50,28.83,-93.87,-67.58,HIGH,GREEN,Margem bruta — custo de frete/lote a cotar fora do scanner,Validar estoque e cotar frete/lote,
